round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
23,8,2845626,1,42230295,0.0005840019480415229,5558,5555,3,0,30.69594282000071,6.811844348907471,0.08798858889795229,0.8205571240717822
23,9,1240841,0,42230296,0.0005840019480415229,2424,2422,2,0,13.012236090999977,6.739888668060303,0.09420431752917591,0.8943430540681772
23,10,2671366,0,42230297,0.0005840019480415229,5218,5216,2,0,28.722787927000354,6.803714275360107,0.11928928117810583,0.9117695627037001
23,11,1851046,0,42230298,0.0005840019480415229,3616,3613,3,0,19.78630205099944,6.7667646408081055,0.07276783469902522,0.7322021281656518
23,12,1495960,1,42230299,0.0005840019480415229,2922,2919,3,0,16.056260082000335,6.7507710456848145,0.1173417711143585,1.1375924372109456
23,13,1779645,0,42230300,0.0005840019480415229,3476,3474,2,0,18.99983105299998,6.763546943664551,0.0865662113029379,0.728606914197431
23,14,3063594,0,42230301,0.0005840019480415229,5984,5982,2,0,33.25985861400022,6.821379661560059,0.03811654435556017,0.4170075738282556
23,15,1212957,1,42230302,0.0005840019480415229,2370,2368,2,0,12.625189450999642,6.738023281097412,0.11350143277967298,1.2247322701119088
23,16,870217,1,42230303,0.0005840019480415229,1700,1698,2,0,8.81166784799916,6.7225871086120605,0.09731928058170458,0.8922879743632215
23,17,5890990,0,42230304,0.0005840019480415229,11506,11501,5,0,63.31409227399945,6.948785305023193,0.05397107855940516,0.5800085403579036
23,18,1063458,1,42230305,0.0005840019480415229,2078,2077,1,0,11.409189368000625,6.731289863586426,0.09016524247383922,0.6940212112008004
23,19,1173148,0,42230306,0.0005840019480415229,2292,2291,1,0,12.63518686200041,6.736230373382568,0.08340856384783528,0.7290174400166411
24,0,3352748,1,42240294,0.0005525313978243026,6549,6546,3,0,38.398162405999756,6.83604621887207,0.09521837756060476,0.9015929038248549
24,1,1783872,1,42240295,0.0005525313978243026,3485,3483,2,0,19.75308377500005,6.763737678527832,0.06951478470203488,0.6739729411157767
24,2,2652819,1,42240296,0.0005525313978243026,5182,5179,3,0,29.738494807999814,6.8028788566589355,0.05309666149126883,0.611601304170086
24,3,1455566,1,42240297,0.0005525313978243026,2843,2841,2,0,16.220957767000073,6.748951435089111,0.11011045107494061,0.9411016972456882
24,4,1864534,1,42240298,0.0005525313978243026,3642,3640,2,0,21.131394443999852,6.7673726081848145,0.14411532223879636,1.1406319754464285
24,5,1932238,0,42240299,0.0005525313978243026,3774,3771,3,0,21.82076917700033,6.770422458648682,0.09745746896804976,1.0110070454413618
24,6,3372587,1,42240300,0.0005525313978243026,6588,6585,3,0,36.18487752600049,6.836348533630371,0.07941313376459283,0.785543834828208
24,7,1472203,0,42240301,0.0005525313978243026,2876,2874,2,0,16.443653041999823,6.749701023101807,0.17226506009563108,1.195199349230167
24,8,2845626,1,42240302,0.0005525313978243026,5558,5555,3,0,32.82155858999977,6.811844348907471,0.08815475724818575,0.8256336668823132
24,9,1240841,0,42240303,0.0005525313978243026,2424,2422,2,0,14.677645744000074,6.739888668060303,0.09544290657578963,0.8974958147321429
24,10,2671366,0,42240304,0.0005525313978243026,5218,5216,2,0,30.397349757000484,6.803714275360107,0.11794674177111292,0.9313202840418904
24,11,1851046,0,42240305,0.0005525313978243026,3616,3613,3,0,20.756078313000216,6.7667646408081055,0.07236236394886954,0.7402016021787642
24,12,1495960,1,42240306,0.0005525313978243026,2922,2920,2,0,16.64278481400015,6.7507710456848145,0.11761295893420912,1.1712464215004281
24,13,1779645,0,42240307,0.0005525313978243026,3476,3474,2,0,19.839068453000436,6.763546943664551,0.08626060507801256,0.7375995677713011
